,probesets,sym,chrom
327,1305_s_at,,
328,1306_at,EIF4G1,3
329,1307_at,XPA,9
330,1308_g_at,XPA,9
331,1309_at,PSMB3,17
332,130_s_at,NKX2-1,14
333,1310_at,PSMB2,1
334,1311_at,PSMB4,1
335,1312_at,PSMD8,19
336,1313_at,PSMB7,9
337,1314_at,PSMD1,2
338,1315_at,OAZ1,19
339,1316_at,THRA,17
340,1317_at,MST1R,3
341,1318_at,RBBP4,1
342,1319_at,DDR2,1
343,131_at,TAF11,6
344,1320_at,PTPN21,14
345,1321_s_at,EMP1,12
346,1322_at,E2F1,20
347,1323_at,UBB,17
348,1324_at,RAD9A,11
349,1325_at,SMAD1,4
350,1326_at,CASP10,2
351,1327_s_at,MAP3K5,6
352,1328_at,TRAF5,1
353,1329_s_at,TERF1,8
354,1330_at,MAP3K3,17
355,1331_s_at,TNFRSF25,1
356,1332_f_at,GH1,17
357,1333_f_at,BCR,22
358,1334_s_at,CSF3,17
359,1335_at,IGF1R,15
360,1336_s_at,PRKCB,16
361,1337_s_at,RARA,17
362,1338_s_at,,
363,1339_s_at,BCR,22
364,133_at,CTSC,11
365,1340_s_at,HGF,7
366,1341_at,SPI1,11
367,1342_g_at,,
368,1343_s_at,SERPINB3,18
369,1344_at,PAX3,2
370,1345_s_at,PAX3,2
371,1346_at,MT3,16
372,1347_at,CDC25B,20
373,1348_s_at,PCCA,13
374,1349_at,,
375,134_at,ABI2,2
376,1350_at,CYP4F2,19
377,1351_at,EPHB4,7
378,1352_at,IL8RA,2
379,1353_g_at,IL8RA,2
380,1354_at,NTRK2,9
381,1355_g_at,NTRK2,9
382,1356_at,DAP3,1
383,1357_at,USP4,3
384,1358_s_at,IFI6,1
385,1359_at,IL17A,6
386,135_g_at,ABI2,2
387,1360_at,XRCC4,5
388,1361_at,TERF1,8
389,1362_s_at,RXRB,6
390,1363_at,FGFR2,10
391,1364_at,PTPRZ1,7
392,1365_at,IL2RB,22
393,1366_i_at,UBC,12
394,1367_f_at,UBC,12
395,1368_at,IL1R1,2
396,1369_s_at,IL8,4
397,136_at,GPR31,6
398,1370_at,IL7R,5
399,1371_s_at,,
400,1372_at,TNFAIP6,2
401,1373_at,TCF3,19
402,1374_g_at,TCF3,19
403,1375_s_at,TIMP2,17
404,1376_at,LIG1,19
405,1377_at,NFKB1,4
406,1378_g_at,NFKB1,4
407,1379_at,EPHA2,1
408,137_at,KLF1,19
409,1380_at,FGF7,15
410,1381_at,RARB,3
411,1382_at,RPA1,17
412,1383_at,PPP2R2A,8
413,1384_at,PPP2R2B,5
414,1385_at,TGFBI,5
415,1386_at,PTPN9,15
416,1387_at,,
417,1388_g_at,VDR,12
418,1389_at,MME,3
419,138_at,MAP4K1,19
420,1390_s_at,GHRH,20
421,1391_s_at,CYP4A11,1
422,1392_at,GRK6,5
423,1393_at,OCM2,7
424,1394_at,RHOA,3
425,1395_at,RHOC,1
426,1396_at,IGFBP5,2
427,1397_at,MAP3K11,11
428,1398_g_at,MAP3K11,11
429,1399_at,TCEB1,8
430,139_at,DLGAP1,18
431,1400_at,CSF2,5
432,1401_g_at,CSF2,5
433,1402_at,LYN,8
434,1403_s_at,CCL5,17
435,1404_r_at,CCL5,17
436,1405_i_at,CCL5,17
437,1406_at,NR2C1,12
438,1407_g_at,NR2C1,12
439,1408_at,FGF4,11
440,1409_at,SRF,6
441,140_s_at,TRA2B,3
442,1410_at,VDR,12
443,1411_at,CYP11B1,8
444,1412_g_at,,
445,1413_at,,
446,1414_at,,
447,1415_at,,
448,1416_g_at,,
449,1417_at,,
450,1418_at,NOS2,17
451,1419_g_at,NOS2,17
452,141_s_at,BRF1,14
453,1420_s_at,EIF4A2,3
454,1421_at,CAMK4,5
455,1422_g_at,CAMK4,5
456,1423_at,UBE2G1,17
457,1424_s_at,YWHAH,22
458,1425_at,PCDHB11,5
459,1426_at,SLA,8
460,1427_g_at,SLA,8
461,1428_at,THRB,3
462,142_at,TAF4,20
463,1430_at,SST,3
464,1431_at,CYP2E1,10
465,1432_s_at,LTK,15
466,1433_g_at,SMAD3,15
467,1434_at,PTEN,10
468,1435_f_at,IFNA21,9
469,1436_at,CYP2D6,22
470,1437_at,PRKCA,17
471,1438_at,EPHB3,3
472,1439_s_at,MAPKAPK2,1
473,143_s_at,TAF5,10
474,1440_s_at,FAS,10
475,1441_s_at,FAS,10
476,1442_at,ESR2,14
477,1443_at,DUSP9,X
478,1444_at,PSMD9,12
479,1445_at,CCRL2,3
480,1446_at,PSMA2,7
481,1447_at,PSMB1,6
482,1448_at,PSMA3,14
483,1449_at,PSMA4,15
484,144_at,TK2,16
485,1450_g_at,PSMA4,15
486,1451_s_at,POSTN,13
487,1452_at,LMO4,1
488,1453_at,SMAD2,18
489,1454_at,SMAD3,15
490,1455_f_at,CYP2C9,10
491,1456_s_at,IFI16,1
492,1457_at,JAK1,1
493,1458_at,PTPN3,9
494,1459_at,PTPN4,2
495,145_s_at,TBX5,12
496,1460_g_at,PTPN4,2
497,1461_at,NFKBIA,14
498,1462_s_at,POLD1,19
499,1463_at,PTPN12,7
500,1464_at,,
501,1465_s_at,MYBL1,8
502,1466_s_at,FGF7,15
503,1467_at,EPS8,12
504,1468_at,TRAP1,16
505,1469_at,MAPKAPK2,1
506,146_at,PI4KB,1
507,1470_at,POLD2,7
508,1471_at,MYB,6
509,1472_g_at,MYB,6
510,1473_s_at,MYB,6
511,1474_s_at,MYB,6
512,1475_s_at,MYB,6
513,1476_s_at,MYB,6
514,1477_s_at,CYP2C18,10
515,1478_at,ITK,5
516,1479_g_at,ITK,5
517,147_at,TSG101,11
518,1480_at,HSPA4,5
