,probesets,sym,chrom
7011,36971_at,TMEM131,2
7012,36972_at,TMED2,12
7013,36973_at,SF3B2,11
7014,36974_at,PSMF1,20
7015,36975_at,TMEM66,8
7016,36976_at,CDH11,16
7017,36977_at,NAPA,19
7018,36978_at,PSME4,2
7019,36979_at,SLC2A3,12
7020,36980_at,PNRC1,6
7021,36981_at,SRP9,1
7022,36982_at,USP14,18
7023,36983_f_at,,
7024,36984_f_at,,
7025,36985_at,IDI1,10
7026,36986_at,LYPLA2,1
7027,36987_at,LMNB2,19
7028,36988_at,TNFAIP1,17
7029,36989_at,DAG1,3
7030,36990_at,UCHL1,4
7031,36991_at,SFRS4,1
7032,36992_at,TXN,9
7033,36993_at,PDGFRB,5
7034,36994_at,ATP6V0C,16
7035,36995_at,AMBP,9
7036,36996_at,OS9,12
7037,36997_at,AK1,9
7038,36998_s_at,ATXN2,12
7039,36999_at,KDM5A,12
7040,369_s_at,UBE2H,7
7041,37000_at,BRP44,1
7042,37001_at,CAPN2,1
7043,37002_at,BLVRB,19
7044,37003_at,CD63,12
7045,37004_at,SFTPB,2
7046,37005_at,NBL1,1
7047,37006_at,IGJ,4
7048,37007_at,SERINC3,20
7049,37008_r_at,SERPINA5,14
7050,37009_at,CAT,11
7051,37010_at,GTF2A2,15
7052,37011_at,AIF1,6
7053,37012_at,CAPZB,1
7054,37013_at,ACE,17
7055,37014_at,MX1,21
7056,37015_at,ALDH1A1,9
7057,37016_at,ECHS1,10
7058,37017_at,PLA2G2A,1
7059,37018_at,HIST1H1C,6
7060,37019_at,FGB,4
7061,37020_at,CRP,1
7062,37021_at,CTSH,15
7063,37022_at,PRELP,1
7064,37023_at,LCP1,13
7065,37024_at,LITAF,16
7066,37025_at,LITAF,16
7067,37026_at,KLF6,10
7068,37027_at,AHNAK,11
7069,37028_at,PPP1R15A,19
7070,37029_at,ATP5O,21
7071,37030_at,FAF2,5
7072,37031_at,FAM120A,9
7073,37032_at,NNMT,11
7074,37033_s_at,GPX1,3
7075,37034_at,ANP32A,15
7076,37035_at,SERP1,3
7077,37036_at,MDN1,6
7078,37037_at,P4HA1,10
7079,37038_at,ABCD3,1
7080,37039_at,HLA-DRA,6
7081,37040_at,GANAB,11
7082,37041_at,ATG4B,2
7083,37042_at,HYAL2,3
7084,37043_at,ID3,1
7085,37044_at,PDIA5,3
7086,37045_at,SNX19,11
7087,37046_at,PSMA5,1
7088,37047_at,NPC1,18
7089,37048_at,TOMM34,20
7090,37049_g_at,TOMM34,20
7091,37050_r_at,TOMM34,20
7092,37051_at,KCNN3,1
7093,37052_at,DGKG,3
7094,37053_at,ATP2B2,3
7095,37054_at,BPI,20
7096,37055_at,ETV1,7
7097,37056_at,TEC,4
7098,37057_s_at,TRAF3,14
7099,37058_at,UGT2B4,4
7100,37059_at,GCKR,2
7101,37060_at,,
7102,37061_at,CHIT1,1
7103,37062_at,GABRA2,4
7104,37063_r_at,,
7105,37064_at,LOC100272228,X
7106,37065_f_at,,
7107,37066_at,PRTN3,19
7108,37067_at,FAM155A,13
7109,37068_at,PLA2G7,6
7110,37069_at,DGCR5,22
7111,37070_at,MPZ,1
7112,37071_at,CNGB1,16
7113,37072_at,CNGB1,16
7114,37073_at,EYA1,8
7115,37074_at,SNTB1,8
7116,37075_at,SNTB1,8
7117,37076_at,SLC2A4,17
7118,37077_at,PKLR,1
7119,37078_at,CD247,1
7120,37079_at,YDD19,13
7121,37080_at,PIGC,1
7122,37081_at,DNAH7,2
7123,37082_at,ZSCAN12,6
7124,37083_s_at,ZSCAN12,6
7125,37084_at,LYZL6,17
7126,37085_g_at,LYZL6,17
7127,37086_at,LYZL6,17
7128,37087_at,AKAP4,X
7129,37088_at,AURKC,19
7130,37089_at,ADAM3A,8
7131,37090_at,ADAM3A,8
7132,37091_g_at,ADAM3A,8
7133,37092_at,PCDHA9,5
7134,37093_at,P11,12
7135,37094_at,XRCC3,14
7136,37095_r_at,FPR2,19
7137,37096_at,ELANE,19
7138,37097_at,SLC17A1,6
7139,37098_at,PPOX,1
7140,37099_at,ALOX5AP,13
7141,370_at,STK38,6
7142,37100_at,FMNL1,17
7143,37101_at,BRMS1,11
7144,37102_at,BRMS1,11
7145,37103_at,BEAN,16
7146,37104_at,PPARG,3
7147,37105_at,CTSG,14
7148,37106_at,ZNF354A,5
7149,37107_at,PPM1D,17
7150,37108_at,CSNK1A1,5
7151,37109_at,PROZ,13
7152,37110_at,PFKFB3,10
7153,37111_g_at,PFKFB3,10
7154,37112_at,FAM65B,6
7155,37113_at,TGFBRAP1,2
7156,37114_at,ZFHX3,16
7157,37115_at,ZMYND8,20
7158,37116_at,ZMYND8,20
7159,37117_at,,
7160,37118_at,RFPL1S,22
7161,37119_at,VAMP4,1
7162,37120_at,TKTL1,X
7163,37121_at,NKG7,19
7164,37122_at,PLIN1,15
7165,37123_at,VILL,3
7166,37124_i_at,CYP3A5,7
7167,37125_f_at,CYP3A5,7
7168,37126_at,TRIM21,11
7169,37127_at,NLRP1,17
7170,37128_at,SOCS7,17
7171,37129_at,NPFF,12
7172,37130_g_at,NPFF,12
7173,37131_at,KLK8,19
7174,37132_at,INVS,9
7175,37133_at,SRPK3,X
7176,37134_f_at,GRIN1,9
7177,37135_f_at,GRIN1,9
7178,37136_at,SH2B2,7
7179,37137_at,GZMB,14
7180,37138_at,RAD54L2,3
7181,37139_at,EDA,X
7182,37140_s_at,EDA,X
7183,37141_at,FOXA1,14
7184,37142_at,GFRA1,10
7185,37143_s_at,PFAS,17
7186,37144_at,PIAS4,19
7187,37145_at,GNLY,2
7188,37146_at,ATG2A,11
7189,37147_at,CLEC11A,19
7190,37148_at,LILRB3,19
7191,37149_s_at,LTF,3
7192,37150_at,KLHL20,1
7193,37151_at,RP1-21O18.1,1
7194,37152_at,PPARD,6
7195,37153_at,NPHP4,1
7196,37154_at,PCDH17,13
7197,37155_at,CNTNAP2,7
7198,37156_at,ETV1,7
7199,37157_at,CALB2,16
7200,37158_at,SAMD14,17
7201,37159_at,AHDC1,1
7202,37160_at,SPRR1B,1
7203,37161_at,RSL1D1,16
7204,37162_at,CCDC6,10
7205,37163_at,ABTB2,11
7206,37164_at,RHD,1
7207,37165_f_at,RHCE,1
7208,37166_at,HAAO,2
7209,37167_at,ATXN7,3
7210,37168_at,LAMP3,3
7211,37169_at,ZNF536,19
7212,37170_at,BMP2K,4
7213,37171_at,KIF23,15
7214,37172_at,CPB2,13
7215,37173_at,CENPE,4
7216,37174_at,MRPL19,2
7217,37175_at,SERPINC1,1
7218,37176_at,HYAL1,3
7219,37177_at,CD58,1
7220,37178_at,SLC25A46,5
7221,37179_at,NFE2,12
7222,37180_at,PLCG2,16
7223,37181_at,MPV17,2
7224,37182_at,SYP,X
7225,37183_at,GAD1,2
7226,37184_at,STX1A,7
7227,37185_at,SERPINB2,18
7228,37186_s_at,ABP1,7
7229,37187_at,CXCL2,4
7230,37188_at,PCK2,14
7231,37189_at,PMM1,22
7232,37190_at,WASF1,6
7233,37191_at,PHYHIP,8
7234,37192_at,EPB49,8
7235,37193_at,UCK2,1
7236,37194_at,GATA2,3
7237,37195_at,CYP11A1,15
7238,37196_at,CDH5,16
7239,37197_s_at,DYNC2LI1,2
7240,37198_r_at,DYNC2LI1,2
7241,37199_at,DYNC2LI1,2
7242,371_at,IRF3,19
7243,37200_at,,
7244,37201_at,ITIH4,3
7245,37202_at,F2,11
7246,37203_at,CES1,16
7247,37204_at,ITIH3,3
7248,37205_at,FBXL7,5
7249,37206_at,ADH6,4
7250,37207_at,SERPINA7,X
7251,37208_at,PSPHL,7
7252,37209_g_at,,7ps*
7253,37210_at,INA,10
7254,37211_at,BDH1,3
7255,37212_at,SP2,17
7256,37213_at,DNASE1L1,X
7257,37214_g_at,DNASE1L1,X
7258,37215_at,PYGL,14
7259,37216_at,SBNO2,19
7260,37217_at,,
7261,37218_at,BTG3,21
7262,37219_at,CXCL9,4
7263,37220_at,FCGR1A,1
7264,37221_at,PRKAR2B,7
7265,37222_at,GSTT1,22
7266,37223_at,SGCB,4
7267,37224_at,COX10,17
7268,37225_at,KANK1,9
7269,37226_at,BNIP1,5
7270,37227_at,APAF1,12
7271,37228_at,PLK1,16
7272,37229_at,ATR,3
7273,37230_at,KLHL21,1
7274,37231_at,DLGAP5,14
7275,37232_at,KIAA0586,14
7276,37233_at,OLR1,12
7277,37234_at,KNG1,3
7278,37235_g_at,KNG1,3
7279,37236_at,KNG1,3
7280,37237_at,AP3M2,8
7281,37238_s_at,PKMYT1,16
7282,37239_r_at,PKMYT1,16
7283,37240_at,HARS2,5
7284,37241_at,PNMA2,8
7285,37242_at,FTO,16
7286,37243_at,GUCY1B3,4
7287,37244_at,UCHL3,13
7288,37245_at,GABPA,21
7289,37246_at,ACD,16
7290,37247_at,TCF21,6
7291,37248_at,CPZ,4
7292,37249_at,PDE8B,5
7293,37250_at,MYCBP,1
7294,37251_s_at,GPM6B,X
7295,37252_at,SNAPC2,19
7296,37253_at,PIP5K1B,9
7297,37254_at,ZNF133,20
7298,37255_at,NDST2,10
7299,37256_at,PRUNE,1
7300,37257_at,PRUNE,1
7301,37258_at,TMEFF1,9
7302,37259_at,SERPINI1,3
7303,37260_at,ABCC9,12
7304,37261_g_at,ABCC9,12
7305,37262_at,ABCC9,12
7306,37263_at,GGH,8
7307,37264_at,ZNF131,5
7308,37265_at,RIMS3,1
7309,37266_at,ZNF32,10
7310,37267_at,THOP1,19
7311,37268_at,VEGFB,11
7312,37269_at,LZTR1,22
7313,37270_at,ATP1B2,17
7314,37271_at,TAF6,7
7315,37272_at,ITPKB,1
7316,37273_at,ERBB4,2
7317,37274_at,BTD,3
7318,37275_at,GABPB1,15
7319,37276_at,IQGAP2,5
7320,37277_at,NAIP,5
7321,37278_at,TAZ,X
7322,37279_at,GEM,8
7323,37280_at,SMAD1,4
7324,37281_at,FAM38A,16
7325,37282_at,MAD2L1,4
7326,37283_at,MN1,22
7327,37284_at,SEMA4D,9
7328,37285_at,ALAS2,X
7329,37286_at,NRCAM,7
7330,37287_at,NRCAM,7
7331,37288_g_at,NRCAM,7
7332,37289_at,CDH8,16
7333,37290_at,CDH8,16
7334,37291_r_at,SNCA,4
7335,37292_at,MAML1,5
7336,37293_at,CKAP5,11
7337,37294_at,BTG1,12
7338,37295_at,GTF2E2,8
7339,37296_at,ARL1,12
7340,37297_at,MAK16,8
7341,37298_at,GABARAP,17
7342,37299_at,GYS1,19
7343,372_f_at,LOC391322,22
7344,37300_at,DYNC1H1,14
7345,37301_at,PRKCB,16
7346,37302_at,CENPF,1
7347,37303_at,PARP4,13
7348,37304_at,CBX1,17
7349,37305_at,EZH2,7
7350,37306_at,CYFIP1,15
7351,37307_at,GNAI2,3
7352,37308_at,GPR107,9
7353,37309_at,RHOA,3
7354,37310_at,PLAU,10
7355,37311_at,TALDO1,11
7356,37312_at,SERTAD2,2
7357,37313_at,,
7358,37314_at,EAPP,14
7359,37315_f_at,EAPP,14
7360,37316_r_at,EAPP,14
7361,37317_at,PAFAH1B1,17
7362,37318_at,ETF1,5
7363,37319_at,IGFBP3,7
7364,37320_at,PTDSS1,8
7365,37321_at,TTC1,5
7366,37322_s_at,HPGD,4
7367,37323_r_at,HPGD,4
7368,37324_at,TFRC,3
7369,37325_at,FDPS,1
7370,37326_at,PLP2,X
7371,37327_at,EGFR,7
7372,37328_at,PLEK,2
7373,37329_at,NDUFV1,11
7374,37330_at,ALDH4A1,1
7375,37331_g_at,ALDH4A1,1
7376,37332_r_at,ALDH4A1,1
7377,37333_at,DNMT1,19
7378,37334_at,HNRNPA0,5
7379,37335_at,DGUOK,2
7380,37336_at,UBXN4,2
7381,37337_at,SNRPG,2
7382,37338_at,PRPSAP1,17
7383,37339_at,USP4,3
7384,37340_at,MAT2A,2
7385,37341_at,GLUD1,10
7386,37342_s_at,IVD,15
7387,37343_at,ITPR3,6
7388,37344_at,HLA-DMA,6
7389,37345_at,CALU,7
7390,37346_at,ARF5,7
7391,37347_at,CKS1B,1
7392,37348_s_at,HMGN3,6
7393,37349_r_at,HMGN3,6
7394,37350_at,PSMD10,X
7395,37351_at,UPP1,7
7396,37352_at,SP100,2
7397,37353_g_at,SP100,2
7398,37354_at,SP100,2
7399,37355_at,STARD3,17
7400,37356_r_at,USO1,4
7401,37357_at,GCSH,16
7402,37358_at,UBE2E1,3
7403,37359_at,,
7404,37360_at,LY6E,8
7405,37361_at,FIBP,11
7406,37362_at,RAB5B,12
7407,37363_at,MTSS1,8
7408,37364_at,PHB2,12
7409,37365_at,DNAJB2,2
7410,37366_at,PDLIM5,4
7411,37367_at,ATP6V1E1,22
7412,37368_at,NFATC4,14
7413,37369_s_at,NFATC4,14
7414,37370_i_at,NFATC4,14
7415,37371_at,,
7416,37372_at,SMPD1,11
7417,37373_at,UGP2,2
7418,37374_at,ANXA4,2
7419,37375_at,PHLDB1,11
7420,37376_at,UBXN1,11
7421,37377_i_at,LMNA,1
7422,37378_r_at,LMNA,1
7423,37379_at,SF3A3,1
7424,37380_at,GTF2B,1
7425,37381_g_at,GTF2B,1
7426,37382_at,RPS26,12
7427,37383_f_at,,
7428,37384_at,PPM1F,22
7429,37385_at,PPIG,2
7430,37386_i_at,KDELR1,19
7431,37387_r_at,KDELR1,19
7432,37388_at,TFPI2,7
7433,37389_at,C11orf58,11
7434,37390_at,DHX38,16
7435,37391_at,CTSL1,9
7436,37392_at,PHKB,16
7437,37393_at,HES1,3
7438,37394_at,C7,5
7439,37395_at,ATP6V1F,7
7440,37396_at,RFXANK,19
7441,37397_at,PECAM1,17
7442,37398_at,PECAM1,17
7443,37399_at,AKR1C3,10
7444,373_at,,
7445,37400_at,,
7446,37401_g_at,TRAK1,3
7447,37402_at,RNASE1,14
7448,37403_at,ANXA1,9
7449,37404_at,RGS12,4
7450,37405_at,SELENBP1,1
7451,37406_at,MAPRE2,18
7452,37407_s_at,MYH11,16
7453,37408_at,MRC2,17
7454,37409_at,SRPK2,7
7455,37410_at,MED22,9
7456,37411_at,ACAP1,17
7457,37412_at,PIP4K2A,10
7458,37413_at,DPEP1,16
7459,37414_at,SLC22A18AS,11
7460,37415_at,ATP10B,5
7461,37416_at,RHOH,4
7462,37417_at,POU2F2,19
7463,37418_at,POU2F2,19
7464,37419_g_at,POU2F2,19
7465,37420_i_at,HLA-F,6
7466,37421_f_at,HLA-F,6
7467,37422_at,PPIC,5
7468,37423_at,SLC12A2,5
7469,37424_at,CCHCR1,6
7470,37425_g_at,CCHCR1,6
7471,37426_at,TOX3,16
7472,37427_at,NTNG1,1
7473,37428_at,NTNG1,1
7474,37429_g_at,NTNG1,1
7475,37430_at,ALOX15B,17
7476,37431_at,PIAS2,18
7477,37432_g_at,PIAS2,18
7478,37433_at,PIAS2,18
7479,37434_at,DCTN5,16
7480,37435_s_at,KCNJ6,21
7481,37436_at,SMCP,1
7482,37437_at,IFT140,16
7483,37438_at,CP110,16
7484,37439_at,SLC30A4,15
7485,37440_at,SLC30A4,15
7486,37441_at,LIPT1,2
7487,37442_at,DKFZP586I1420,7
7488,37443_at,TRMU,22
7489,37444_at,PARD6A,16
7490,37445_at,TMEM5,12
7491,37446_at,GPRASP1,X
7492,37447_at,GPER,7
7493,37448_s_at,GNAS,20
7494,37449_i_at,GNAS,20
7495,37450_r_at,GNAS,20
7496,37451_at,SLCO3A1,15
7497,37452_at,UMOD,16
7498,37453_at,CLPX,15
7499,37454_at,CCL13,17
7500,37455_at,CXCR5,11
7501,37456_at,LGALS2,22
7502,37457_at,LRRTM2,5
7503,37458_at,CDC45L,22
7504,37459_at,COL8A1,3
7505,37460_at,TIAM1,21
7506,37461_at,ANGPT2,8
7507,37462_i_at,SF3A2,19
7508,37463_r_at,SF3A2,19
7509,37464_at,PEX13,2
7510,37465_at,TPPP,5
7511,37466_at,RAB7L1,1
7512,37467_at,IGHD,14
7513,37468_at,JAK2,9
7514,37469_at,KNTC1,12
7515,37470_at,LAIR1,19
7516,37471_at,RPP40,6
7517,37472_at,MANBA,4
7518,37473_at,KRT16,17
7519,37474_at,OIP5,15
7520,37475_at,WDR62,19
7521,37476_at,,
7522,37477_at,RNF216,7
7523,37478_at,SCGN,6
7524,37479_at,CD72,9
7525,37480_at,THPO,3
7526,37481_at,CDC40,6
7527,37482_at,AKR1B10,7
7528,37483_at,HDAC9,7
7529,37484_at,ITGA1,5
7530,37485_at,SLC27A2,15
7531,37486_f_at,MEIS3P1,17
7532,37487_at,TNRC6B,22
7533,37488_at,FNTB,14
7534,37489_s_at,SLC4A3,2
7535,37490_at,SLC4A3,2
7536,37491_at,TAF1,X
7537,37492_at,CLMN,14
7538,37493_at,CSF2RB,22
7539,37494_at,CSF2RB,22
7540,37495_at,PRR3,6
7541,37496_at,ABCB8,7
7542,37497_at,HHEX,10
7543,37498_at,KCNG1,20
7544,37499_at,KIAA0408,6
7545,374_f_at,,
7546,37500_at,ZNF175,19
7547,37501_at,NKRF,X
7548,37502_at,SMC2,9
7549,37503_at,TBC1D30,12
7550,37504_at,SMURF1,7
7551,37505_at,NR0B2,1
7552,37506_at,PRPF40A,2
7553,37507_i_at,PRPF40A,2
7554,37508_f_at,PRPF40A,2
7555,37509_at,CRLF3,17
7556,37510_at,STX8,17
7557,37511_at,B9D1,17
7558,37512_at,HSD17B6,12
7559,37513_at,SCD,10
7560,37514_s_at,MASP2,1
7561,37515_at,MASP2,1
7562,37516_at,DDN,12
7563,37517_at,GARNL4,17
7564,37518_at,NUFIP1,13
7565,37519_at,ASGR1,17
7566,37520_at,ZNF330,4
7567,37521_s_at,ZNF330,4
7568,37522_r_at,ZNF330,4
7569,37523_at,ACADL,2
7570,37524_at,STK17B,2
7571,37525_at,SPINLW1,20
7572,37526_at,VNN1,6
7573,37527_at,ELK3,12
7574,37528_at,ASPH,8
7575,37529_at,CACNA1H,16
7576,37530_s_at,RELN,7
7577,37531_at,TBC1D5,3
7578,37532_at,ACADM,1
7579,37533_r_at,TTC9,14
7580,37534_at,CXADR,21
7581,37535_at,CREB1,2
7582,37536_at,CD83,6
7583,37537_at,TRIM23,5
7584,37538_at,LOC730101,6
7585,37539_at,RGL1,1
7586,37540_at,MYOM2,8
7587,37541_at,SELPLG,12
7588,37542_at,LHFPL2,5
7589,37543_at,ARHGEF6,X
7590,37544_at,NFIL3,9
7591,37545_at,SCAMP5,15
7592,37546_r_at,SCAMP5,15
7593,37547_at,BBS9,7
7594,37548_at,BBS9,7
7595,37549_g_at,BBS9,7
7596,37550_at,F8,X
7597,37551_at,ZNF592,15
7598,37552_at,KCNK1,1
7599,37553_at,TESK1,9
7600,37554_at,KLK6,19
7601,37555_at,PWP2,21
7602,37556_at,GCA,2
7603,37557_at,SLC4A2,7
7604,37558_at,IGF2BP3,7
7605,37559_at,MTERFD2,2
7606,37560_at,SNED1,2
7607,37561_at,NFYA,6
7608,37562_at,PCDH1,5
7609,37563_at,SRGAP3,3
7610,37564_at,HINFP,11
7611,37565_at,MMD,17
7612,37566_at,KIAA1045,9
7613,37567_at,SALL2,14
7614,37568_at,GRM5,11
7615,37569_at,PDCD6,5
7616,37570_at,SNX15,11
7617,37571_at,DOCK9,13
7618,37572_at,CCK,3
7619,37573_at,ANGPTL2,9
7620,37574_at,NEDD9,6
7621,37575_at,ATF2,2
7622,37576_at,PCP4,21
7623,37577_at,ARHGAP19,10
7624,37578_at,AFAP1,4
7625,37579_at,CYFIP2,5
7626,37580_at,SH3GL3,15
7627,37581_at,PPP6C,9
7628,37582_at,KRT15,17
7629,37583_at,KDM5D,Y
7630,37584_at,FANCG,9
7631,37585_at,SNRPA1,15
7632,37586_at,ZNF142,2
7633,37587_at,RCVRN,17
7634,37588_s_at,MAPK8IP2,22
7635,37589_at,,
7636,37590_g_at,,
7637,37591_at,UCP2,11
7638,37592_at,CKMT2,5
7639,37593_at,PCCA,13
7640,37594_at,BHMT,5
7641,37595_at,,
7642,37596_at,PLCD1,3
7643,37597_s_at,EXOC3,5
7644,37598_at,RASSF2,20
7645,37599_at,AOX1,2
7646,375_at,GSTT1,22
7647,37600_at,ECM1,1
7648,37601_at,SLC22A3,6
7649,37602_at,GAMT,19
7650,37603_at,IL1RN,2
7651,37604_at,HNMT,2
7652,37605_at,COL2A1,12
7653,37606_at,KHK,2
7654,37607_at,KHK,2
7655,37608_g_at,KHK,2
7656,37609_at,NUBP1,16
7657,37610_at,C7orf44,7
7658,37611_at,TNFRSF11B,8
7659,37612_at,PVALB,22
7660,37613_at,PVALB,22
7661,37614_g_at,PVALB,22
7662,37615_at,GRB10,7
7663,37616_at,AUH,9
7664,37617_at,FAM190B,10
7665,37618_at,HOXB7,17
7666,37619_at,METAP1,4
7667,37620_at,TAF12,1
7668,37621_at,IL6ST,5
7669,37622_r_at,PSIP1,9
7670,37623_at,NR4A2,2
7671,37624_at,CA3,8
7672,37625_at,IRF4,6
7673,37626_at,IRF4,6
7674,37627_g_at,IRF4,6
7675,37628_at,MAOB,X
7676,37629_at,CSNK2A2,16
7677,37630_at,CHRDL1,X
7678,37631_at,MYO1E,15
7679,37632_s_at,DNAJC2,7
7680,37633_s_at,PAEP,9
7681,37634_at,PAEP,9
7682,37635_at,TCHH,1
7683,37636_at,PHF16,X
7684,37637_at,RGS3,9
7685,37638_at,DOCK1,10
7686,37639_at,HPN,19
7687,37640_at,HPRT1,X
7688,37641_at,IFI44,1
7689,37642_at,FAM175B,10
7690,37643_at,FAS,10
7691,37644_s_at,FAS,10
7692,37645_at,CD69,12
7693,37646_at,POLD3,11
7694,37647_at,AOAH,7
7695,37648_at,TTLL12,22
7696,37649_at,HMBS,11
7697,37650_at,MKRN1,7
7698,37651_at,RCOR1,14
7699,37652_at,CABIN1,22
7700,37653_at,COL18A1,21
7701,37654_at,SNX17,2
7702,37655_at,GOLGB1,3
7703,37656_at,SCAP,3
7704,37657_at,PALM,19
7705,37658_at,GAS6,13
7706,37659_at,IMMT,2
7707,37660_at,SPAG8,9
7708,37661_at,ATP2B1,12
7709,37662_at,UBE2G1,17
7710,37663_at,DDX1,2
7711,37664_at,DRG2,17
7712,37665_at,EIF2B1,12
7713,37666_at,PSMB5,14
7714,37667_at,UROD,1
7715,37668_at,C1QBP,17
7716,37669_s_at,ATP1B1,1
7717,37670_at,ANXA7,10
7718,37671_at,LAMA4,6
7719,37672_at,USP7,16
7720,37673_at,NSMAF,8
7721,37674_at,ALAS1,3
7722,37675_at,SLC25A3,12
7723,37676_at,PDE8A,15
7724,37677_at,PGK1,X
7725,37678_at,BAMBI,10
7726,37679_at,IFRD1,7
7727,37680_at,AKAP12,6
7728,37681_i_at,MATR3,5
7729,37682_r_at,MATR3,5
7730,37683_at,USP10,16
7731,37684_at,SLCO2B1,11
7732,37685_at,PICALM,11
7733,37686_s_at,UNG,12
7734,37687_i_at,FCGR2A,1
7735,37688_f_at,FCGR2A,1
7736,37689_s_at,FCGR2A,1
7737,37690_at,ILVBL,19
7738,37691_at,,
7739,37692_at,DBI,2
7740,37693_at,NUMB,14
7741,37694_at,PHF3,6
7742,37695_at,RNF144A,2
7743,37696_at,VDAC2,10
7744,37697_s_at,VDAC2,10
7745,37698_at,AKAP1,17
7746,37699_at,METAP2,12
7747,376_at,SEMA3C,7
7748,37700_at,BLMH,17
7749,37701_at,RGS2,1
7750,37702_at,CUL3,2
7751,37703_at,RABGGTB,1
7752,37704_at,BCKDHA,19
7753,37705_at,PPP1R8,1
7754,37706_at,GLG1,16
7755,37707_i_at,ADH5,4
7756,37708_r_at,ADH5,4
7757,37709_at,HDHD1A,X
7758,37710_at,MEF2C,5
7759,37711_at,MEF2C,5
7760,37712_g_at,MEF2C,5
7761,37713_at,ACY1,3
7762,37714_at,GAP43,3
7763,37715_at,SNW1,14
7764,37716_at,CD200,3
7765,37717_at,HNRNPM,19
7766,37718_at,SNRK,3
7767,37719_at,MLF2,12
7768,37720_at,HSPD1,2
7769,37721_at,DHPS,19
7770,37722_s_at,DHPS,19
7771,37723_at,CCNG2,4
7772,37724_at,MYC,8
7773,37725_at,PPP1CC,12
7774,37726_at,MRPL3,3
7775,37727_i_at,RCN2,15
7776,37728_r_at,RCN2,15
7777,37729_at,XPO1,2
7778,37730_at,SND1,7
7779,37731_at,EPS15,1
7780,37732_at,RYBP,3
7781,37733_at,MAPK14,6
7782,37734_at,MOBKL1B,2
7783,37735_at,,
7784,37736_at,PCMT1,6
7785,37737_at,PCMT1,6
7786,37738_g_at,PCMT1,6
7787,37739_at,SSRP1,11
7788,37740_r_at,SLC25A5,X
7789,37741_at,PYCR1,17
7790,37742_at,GLB1,3
7791,37743_at,FEZ1,11
7792,37744_r_at,FEZ1,11
7793,37745_s_at,ST5,11
7794,37746_r_at,ST5,11
7795,37747_at,ANXA5,4
7796,37748_at,KIAA0232,4
7797,37749_at,MEST,7
7798,37750_at,UBE2V2,8
7799,37751_at,TM9SF4,20
7800,37752_at,EIF4E,4
7801,37753_at,SMARCD1,12
7802,37754_at,LGALS3BP,17
7803,37755_at,BTBD3,20
7804,37756_at,RYK,3
7805,37757_at,TFDP1,13
7806,37758_s_at,,
7807,37759_at,LAPTM5,1
7808,37760_at,BAIAP2,17
7809,37761_at,BAIAP2,17
7810,37762_at,EMP1,12
7811,37763_at,RXRB,6
7812,37764_at,HLCS,21
7813,37765_at,LMOD1,1
7814,37766_s_at,PSMC5,17
7815,37767_at,HTT,4
7816,37768_at,MPG,16
7817,37769_at,LPAR2,19
7818,37770_at,TAF2,8
7819,37771_at,TAOK2,16
7820,37772_at,CRKRS,17
7821,37773_at,RPGRIP1L,16
7822,37774_at,SEPT6,X
7823,37775_at,SEPT6,X
7824,37776_at,PHTF1,1
7825,37777_at,PTPRB,12
7826,37778_at,KIN,10
7827,37779_at,SMPDL3B,1
7828,37780_at,PCLO,7
7829,37781_at,NRXN2,11
7830,37782_at,SST,3
7831,37783_at,,
7832,37784_at,,
7833,37785_at,RND1,12
7834,37786_at,MARCH3,5
7835,37787_at,LOC92973,9
7836,37788_at,,
7837,37789_at,TADA2L,17
7838,37790_at,VENTX,10
7839,37791_at,,
7840,37792_s_at,RAD51L3,17
7841,37793_r_at,RAD51L3,17
7842,37794_at,ZNF783,7
7843,37795_at,ARSB,5
7844,37796_at,LRCH4,7
7845,37797_at,RPE,2
7846,37798_at,ERLIN2,8
7847,37799_at,ASGR2,17
7848,377_g_at,SEMA3C,7
7849,37800_r_at,,
7850,37801_at,ATP6V0A2,12
7851,37802_r_at,FAM63B,15
7852,37803_at,,
7853,37804_at,VPS4B,18
7854,37805_at,SRPX2,X
7855,37806_at,SHANK2,11
7856,37807_at,GCK,7
7857,37808_at,SNX7,1
7858,37809_at,HOXA9,7
7859,37810_at,HOXA9,7
7860,37811_at,CACNA2D2,3
7861,37812_at,CUX2,12
7862,37813_at,DDX51,12
7863,37814_g_at,DDX51,12
7864,37815_at,DDX51,12
7865,37816_at,C5,9
7866,37817_at,C19orf29,19
7867,37818_at,FBXO46,19
7868,37819_at,MDM1,12
7869,37820_at,PRODH2,19
7870,37821_at,BCAS1,20
7871,37822_at,C16orf88,16
7872,37823_at,CCL8,17
7873,37824_at,ANKRD26,10
7874,37825_at,GALK2,15
7875,37826_at,UBE2D1,10
7876,37827_r_at,DOPEY2,21
7877,37828_at,RSBN1,1
7878,37829_at,GAS2,11
7879,37830_at,TSPAN9,12
7880,37831_at,SIPA1L3,19
7881,37832_at,MMACHC,1
7882,37833_at,SERPINA6,14
7883,37834_at,DYRK1B,19
7884,37835_at,CD1C,1
7885,37836_at,TTLL5,14
7886,37837_at,ADNP2,18
7887,37838_at,F12,5
7888,37839_at,NTRK3,15
7889,37840_at,CNGA1,4
7890,37841_at,BCHE,3
7891,37842_at,MDFIC,7
7892,37843_i_at,IL27RA,19
7893,37844_at,IL27RA,19
